ls1 (mm),ls2 (mm),ls3 (mm),ws1 (mm),ws2 (mm),ws3 (mm),Frequency 1 (GHz),S11 1 (dB),Frequency 2 (GHz),S11 2 (dB),Frequency 3 (GHz),S11 3 (dB)
7.75,9,8,0.75,1.5,0.25,2.5,-14.3815521772615,5.2,-16.3087547003098,5.85,-13.1706420761437
7.75,9,8,1,1.5,0.25,2.45,-19.7897712826944,5.15,-12.2914133274298,5.8,-13.1110542173807
8,9,8,0.5,1.5,0.25,2.5,-16.2177715714664,5.15,-19.7665566525747,5.75,-14.7570345547313
8,9,8,0.75,1.5,0.25,2.45,-17.5382256656524,5.1,-13.5320032675576,5.75,-15.8408843161089
8,9,8,1,1.5,0.25,2.45,-25.5535781529302,5.2,-16.2756067648158,5.8,-14.2468951026291
7.5,9,8,0.5,1.75,0.25,2.5,-12.014870376668,5.25,-13.5563059880304,5.9,-10.5796774341365
7.5,9,8,0.75,1.75,0.25,2.5,-12.7046896870739,5.2,-11.9751732147445,5.85,-11.136980950982
7.5,9,8,1,1.75,0.25,2.45,-17.5725666365361,5.2,-13.8455963214457,5.9,-11.1490135369297
7.75,9,8,0.5,1.75,0.25,2.5,-13.0706163221228,5.0,-10.7980610493859,5.7,-15.0201459823092
7.75,9,8,0.75,1.75,0.25,2.5,-14.9675270715233,5.25,-18.8958968068563,5.85,-11.3378295821528
7.75,9,8,1,1.75,0.25,2.45,-19.013113931804,5.15,-15.1524848884649,5.9,-12.6172045145885
8,9,8,0.5,1.75,0.25,2.5,-15.0208393178056,5.1,-17.2451429292748,5.8,-14.9501210560061
8,9,8,0.75,1.75,0.25,2.45,-21.1825585280594,5.15,-16.4250977488675,5.85,-13.1446787739561
8,9,8,1,1.75,0.25,2.45,-19.4388667679065,5.1,-16.7771154300966,5.8,-13.7857566684014
7.5,9,8,0.5,2,0.25,2.5,-11.525879111264,5.2,-12.549492312734,5.95,-10.0073454466955
7.5,9,8,0.75,2,0.25,2.45,-14.5734867996987,5.1,-14.1722440812195,5.85,-11.7056065104146
7.5,9,8,1,2,0.25,2.45,-16.344372355782,5.15,-15.1769456784563,5.9,-11.302159021359
7.75,9,8,0.5,2,0.25,2.5,-12.8089462677354,5.15,-17.0502776879258,5.85,-11.4601297660427
7.75,9,8,0.75,2,0.25,2.45,-17.4743479321322,5.15,-16.7469354596959,5.9,-12.1735043600204
7.75,9,8,1,2,0.25,2.45,-15.9508654698107,5.15,-22.0382107832115,5.9,-12.2488115205501
8,9,8,0.5,2,0.25,2.45,-15.5677709621496,5.15,-25.7776306727609,5.85,-12.1462041011598
8,9,8,0.75,2,0.25,2.45,-18.2095579892846,5.15,-25.355163319771,5.9,-13.2447697261894
8,9,8,1,2,0.25,2.4,-19.7917956852988,5.1,-19.2090135039913,5.9,-13.0938493717802
7.5,9.25,8,0.5,1.5,0.25,2.5,-11.5395831733983,5.25,-12.4288910018614,5.75,-11.8527093556062
7.5,9.25,8,0.75,1.5,0.25,2.45,-15.5016585346683,5.25,-13.3008581914452,5.8,-11.4532828468022
7.5,9.25,8,1,1.5,0.25,2.45,-14.6949874659369,5.25,-11.8086597681804,5.8,-12.3363474985417
7.75,9.25,8,0.5,1.5,0.25,2.45,-14.0060759714102,5.2,-16.1048120973316,5.75,-13.0705373247069
7.75,9.25,8,0.75,1.5,0.25,2.45,-16.5295237435095,5.1,-13.5239458547473,5.7,-14.5037922807368
7.75,9.25,8,1,1.5,0.25,2.4,-17.7796091205124,5.15,-16.6119801198978,5.75,-13.6348470206716
8,9.25,8,0.5,1.5,0.25,2.45,-16.2030874242675,4.85,-11.4025951344853,5.55,-22.5686581082234
8,9.25,8,0.75,1.5,0.25,2.45,-17.7420959402076,5.25,-21.0531681464623,5.8,-13.0938474142673
8,9.25,8,1,1.5,0.25,2.4,-29.8503684155673,5.15,-18.2493884367869,5.75,-15.5788331903893
7.5,9.25,8,0.5,1.75,0.25,2.45,-13.1533102612072,5.2,-12.4330040820627,5.8,-10.8564167034651
7.5,9.25,8,0.75,1.75,0.25,2.45,-14.4216869048522,5.25,-15.6778277168542,5.8,-10.2761082738276
7.5,9.25,8,1,1.75,0.25,2.4,-17.6767411811258,5.1,-13.096732104073,5.8,-12.8310913269691
7.75,9.25,8,0.5,1.75,0.25,2.45,-13.5106898686196,5.15,-16.407837983001,5.75,-12.8728922269064
7.75,9.25,8,0.75,1.75,0.25,2.45,-15.168217525153,5.2,-20.8231663367401,5.8,-12.7869855255345
7.75,9.25,8,1,1.75,0.25,2.4,-22.5723275614945,5.15,-16.836932566786,5.75,-12.8259649208211
8,9.25,8,0.5,1.75,0.25,2.45,-15.4949446421996,5.1,-15.8856814881775,5.7,-15.732019963231
8,9.25,8,0.75,1.75,0.25,2.4,-19.1439943401814,5.15,-19.4112262823155,5.75,-12.4632934115201
8,9.25,8,1,1.75,0.25,2.4,-21.4708604364316,5.15,-20.1901958860825,5.8,-14.5933254785266
7.5,9.25,8,0.5,2,0.25,2.45,-12.6710997968685,5.2,-13.4605804713855,5.85,-10.5769122428616
7.5,9.25,8,0.75,2,0.25,2.4,-13.6690111075222,5.15,-15.7318616024726,5.85,-11.4062448701355
7.5,9.25,8,1,2,0.25,2.4,-19.5479954410263,5.2,-16.5351313743861,5.9,-10.9051916354363
